movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;sentiment_tuple;sentiment_polarity;sentiment_subjectivity;rel_sent;abs_sent
lincoln;9;aozeta;/user/aozeta;Jan 24, 2013;"[ ""This film has the best Lincoln as perfectly portrayed by Daniel Day-Lewis. While the performances are trophy-worthy along with production design, the screenplay enjoys the benefit of the doubt. Nevertheless, this one deserves to join the roll of best history movies. Worth-watching."", """", ""http://movienotesbook.blogspot.com/2013/01/movies-2012-lincoln-2012.html"" ]";0.0;0.0;0.0;0.0;(1.0, 0.5333333333333333);1.0;0.5333333333333333;inf;1.0
reasonable-doubt;4;Broyax;/user/Broyax;Jan 21, 2017;"[ ""Médiocre sans être mauvais et de surcroît très générique, La loi du tueur fait penser invariablement à un téléfilm dans lequel Samuel L. Jackson se serait égaré pour payer les réparations du toit ; ce ne serait pas la première fois, cet acteur pourtant excellent a en effet quelques daubes à son tableau de service."", ""Ainsi, bien que le scénario ait de la suite dans les idées, quelques détails sont traités par dessus la jambe et la réalisation terriblement conventionnelle ne l'aide en rien. En outre, le petit gars Dominic Cooper est bien gentil mais désespérément médiocre comme pour faire écho à l'ensemble du film. On ne s'y ennuie pas... mais on est loin de vraiment s'y intéresser !"" ]";0.0;0.0;0.0;0.0;(1.0, 1.0);1.0;1.0;12.903225806451609;0.9225
the-deep-end-of-the-ocean;1;Broyax;/user/Broyax;Apr 15, 2017;"[ ""J'espère que vous êtes prêts et bien préparés... ouvrez grand !... prêts à être gavés de guimauve jusqu'à s'en étouffer ? c'est parti pour presque deux plombes ! et on ne vomit pas parce qu'il faudra de toute façon tout finir !"", ""J'avoue qu'on tient un beau record en la matière, en matière de guimauve lourde et sirupeuse qui dégouline partout ; à ce niveau-là, ça devient vraiment dégueulasse. Et à la guimauve vient s'ajouter toute la niaiserie et les violons qui vont avec. Un supplice."", ""Alors, heureusement qu'on peut accélérer mais même en accélérant, on regarde quand même jusqu'au bout, car cette chose est lancinante, hypnotique presque. A moins que ce ne soit de la curiosité expérimentale, pour voir juste jusqu'où ils vont nous gaver ces crevards !"", ""Michelle n'y est pas pour rien certes : elle est très convaincante et toujours aussi belle. Mais putain, j'en peux plus, j'ai cru que ça se terminerait jamais."" ]";0.0;0.0;0.0;0.0;(1.0, 1.0);1.0;1.0;12.903225806451609;0.9225
like-mike;7;homer4president;/user/homer4president;Apr 12, 2015;"[ ""Like \""Rookie of the Year\"", you get what you expect, and should understand between fact and fantasy, and know that before you review or see a movie, that you would be by-partison or biast too. I Happen to know the fine line between fact and fantasy, or fiction, yet this film is just a perfectly innoccent children's film. A no-brainer for parents to let thier kids watch."" ]";0.0;0.0;0.0;0.0;(0.7083333333333334, 0.75);0.7083333333333334;0.75;-3.400000000000001;0.9166666666666666
spider-man;9;homer4president;/user/homer4president;Mar 13, 2015;"[ ""The first installment of the Spider-Man trilogy is excellent and very entertaining to watch. The soundtrack was very good and original, and the acting was superb. The special effects were top-notch as well, and the plot keeps you thinking all the way to the end. All in all, this is a great action/superhero movie and one of Marvel's best productions."" ]";0.0;0.0;0.0;0.0;(0.6674675324675324, 0.6722510822510822);0.6674675324675324;0.6722510822510822;-3.2038441558441564;0.8758008658008657
lemony-snickets-a-series-of-unfortunate-events;7;homer4president;/user/homer4president;Mar 13, 2015;"[ ""There are a couple discrepancies between the book and the movie. Ultimately, a good representation of the Baudelaire's orphan story. If you are looking to read more about the tragedy of the Baudelaire orphans, then the books are a great place to start."" ]";0.0;0.0;0.0;0.0;(0.6666666666666666, 0.6166666666666667);0.6666666666666666;0.6166666666666667;-3.2000000000000006;0.8749999999999999
lights-out;8;homer4president;/user/homer4president;Jul 27, 2016;"[ ""Lights Out is an impressive debut for first time director David F. Sandberg, who even if he falls into the genre cliches that we have come to expect, still gives us some great performances from the cast including a great Teresa Palmer in the lead role, and a great Maria Bello in the supporting role."" ]";1.0;2.0;1.0;1.0;(0.6499999999999999, 0.6388888888888888);0.6499999999999999;0.6388888888888888;-3.12;0.8583333333333332
thor;8;SonicHD7;/user/SonicHD7;Jun  1, 2017;"[ ""As the son of Odin (Anthony Hopkins), king of the Norse gods, Thor (Chris Hemsworth) will soon inherit the throne of Asgard from his aging father. However, on the day that he is to be crowned, Thor reacts with brutality when the gods' enemies, the Frost Giants, enter the palace in violation of their treaty. As punishment, Odin banishes Thor to Earth. While Loki (Tom Hiddleston), Thor's brother, plots mischief in Asgard, Thor, now stripped of his powers, faces his greatest threat."" ]";0.0;0.0;0.0;0.0;(1.0, 1.0);1.0;1.0;6.0;0.8333333333333334
the-dark-knight;10;homer4president;/user/homer4president;Mar 13, 2015;"[ ""The one singular thing I loved more than anything abotu this film was Heath Ledger's performance as The Joker. The one thing that touches me about his performance is that he was so into his character, he couldn't get out, and so he became The Joker. He WAS the best Joker I've ever seen. This film, all in all, was a great second chapter to the trilogy!"" ]";0.0;0.0;0.0;0.0;(0.6, 0.47000000000000003);0.6;0.47;-2.8800000000000003;0.8083333333333332
zodiac;5;Broyax;/user/Broyax;Jan 27, 2017;"[ ""\""Faites entrer l'accusé\"" pendant 2h37... un excellent épisode au demeurant, un épisode à la manière de David Fincher, c'est-à-dire une mise en scène rigoureuse et fluide, une direction d'acteurs impeccable (jamais vu un acteur \""mauvais\"" quand Fincher est à la barre), bref du bon filmage."", ""Un peu longuet tout de même : en effet l'émission télé ne dépasse pas une heure et demi en général... alors deux plombes entières et quasiment trois quarts d'heure... (je l'écris en toutes lettres comme une somme avec plein de centimes sur un putain de chèque pour vous donner une idée). Non pas que ce soit chiant, je ne voudrais pas qu'on se méprenne, mais c'est un peu lourd à digérer."", ""Une affaire non résolue et tortueuse donc (le film semble très documenté sur le sujet) comme il en existe beaucoup et plus que l'on ne croit... mais je me demande si une telle affaire -aussi macabre et merdique- méritait un film triple A. A mon avis, certainement pas, car c'est faire l'apologie d'un psychopathe. Je sais que les psychopathes et autres tueurs en série sont des \""stars\"" aux Etats-Unis mais ma mentalité d'Européen ne l'entend pas de cette oreille."", ""Aussi conclurai-je par une déclaration : il s'agit d'un film remarquable sur un sujet odieux et abject, et un film d'une complaisance malsaine dont l'utilité laisse fortement dubitatif. A bon entendeur..."" ]";0.0;0.0;0.0;0.0;(0.875, 0.875);0.875;0.875;11.290322580645157;0.7975
jurassic-park;9;homer4president;/user/homer4president;Mar 13, 2015;"[ ""This is perhaps the earliest movie I remember watching and what a movie it is to remember. The dinosaur effects are great, the characters are good, and the story is memorable. Sure, the paleontology is off at times (the Velociraptors being the same size as us and being superintelligent for example) but I don't care because this movie is awesome."" ]";0.0;0.0;0.0;0.0;(0.5833333333333334, 0.7273148148148149);0.5833333333333334;0.7273148148148149;-2.8000000000000007;0.7916666666666666
apollo-13;8;homer4president;/user/homer4president;Mar 31, 2015;"[ ""Dramatically stunning, and at times at the profound level, Apollo 13 is a magnificent retelling of the doomed Apollo space mission. It succeeds in fleshing out the heroism and determination in what is the quintessential modern story of mankind's greatest adventure and victory over adversity."" ]";0.0;0.0;0.0;0.0;(0.5805555555555556, 0.7333333333333334);0.5805555555555556;0.7333333333333334;-2.7866666666666675;0.7888888888888889
goodfellas;9;Everlong;/user/Everlong;Apr 28, 2012;"[ ""Goodfellas can easily be considered one of the greatest films ever made during the 90's. What makes it so brilliant, you ask? Without a doubt, it's number one quality is it's PLOT. Utterly captivating from the first scene the plot delivers one of the best cinematic experiences you will ever encounter."" ]";1.0;1.0;1.0;0.0;(0.5833333333333334, 0.6666666666666667);0.5833333333333334;0.6666666666666667;-3.2071998363673555;0.7652157738095239
cheaper-by-the-dozen;8;homer4president;/user/homer4president;Mar 28, 2015;"[ ""Good family entertainment! Steve Martin is funny as always and the kids are good too. The story is good and believable and the jokes are quite funny. Yes, it has the cliches you see in movie with parents who deal with tons of kids but that shouldn't matter to the viewer."" ]";0.0;0.0;0.0;0.0;(0.5458333333333333, 0.7166666666666668);0.5458333333333333;0.7166666666666668;-2.6200000000000006;0.7541666666666665
interstellar;9;blue-ninja;/user/blue-ninja;Mar 21, 2015;"[ ""This Movie is Great about Story, Effect, and Music. For Character is look good too, and salute for Nolan, keep keeping men for make Quality Film ///////////////////////////////////////////////////////////////////////////////////////////////////////////////"" ]";1.0;1.0;1.0;0.0;(0.75, 0.675);0.75;0.675;inf;0.75
django-unchained;9;Compi24;/user/Compi24;Jan  2, 2013;"[ ""Thanks to a seemingly unending overflow of marvelous performances, a bitingly scintillating script, and the always-lovable auteurist techniques of Quentin Tarantino, \""Django Unchained\"" makes for a truly gratifying film adventure and one of the greatest westerns I have ever seen."" ]";1.0;4.0;1.0;3.0;(0.7333333333333334, 0.7333333333333334);0.7333333333333334;0.7333333333333334;inf;0.7333333333333334
passengers-2016;5;Futuredirector;/user/Futuredirector;Jan 23, 2017;"[ ""With an entertainning story-telling, cool plot and of course, Chriss Pratt and Jennifer Lawrence's unforgettable chemic, Passengers becomes one of the best films of the year without doubt."" ]";0.0;2.0;0.0;2.0;(0.7166666666666667, 0.65);0.7166666666666667;0.65;inf;0.7166666666666667
the-human-stain;3;Broyax;/user/Broyax;Jun 30, 2017;"[ ""S'il y a un intérêt quelconque à dénicher dans ce film mou du genou qui plonge à pic dans le pathos de la problématique raciale, c'est les comédiens, tous très appréciés et très appréciables : Hopkins qu'on ne présente plus et bien évidemment la merveilleuse Kidman, d'autant plus merveilleuse qu'elle ne s'était pas encore botoxée la tronche ! ravissante et sexy en diable, même dans son rôle de névropathe."", ""Sinise joue un petit rôle également, ainsi que Miller, le roi de l'évasion et même ce bon vieux Harris, tous donnent le meilleur d'eux-mêmes. C'est uniquement pour ça qu'on tient jusqu'au bout à dire vrai, car on somnole les trois quarts du temps, tout ce temps où le film veut nous faire prendre des vessies pour des lanternes, à savoir que Hopkins et Miller sont des Noirs !... en fait."", ""Je regrette, mais des Blancs ne peuvent pas jouer des Noirs, fussent-ils des mulâtres ou des \""Obama\"", et vice et versa comme on dit. Tout ça pour nous ressasser les vieux clichés sur l'intégration, l'identité et le racisme. Le film a au moins le mérite de dénoncer la dictature paranoïaque du politiquement correct du vivre ensemble, du style \""on se croirait en Afrique\"" ou \""où sont passés ces zombis\""  = haro, procès et hystérie collective, sus aux sales \""racistes\"" ! (car \""zombi\"" est un mot africain, paraît-il)."", ""En tout cas, les lenteurs et la maladresse du propos demeurent, outre les incohérences sus-mentionnées et font de La Couleur du mensonge un énième film abrutissant et superfétatoire."" ]";0.0;0.0;0.0;0.0;(0.78125, 1.0);0.78125;1.0;10.080645161290319;0.70375
inside-out-2015;9;YellowKirby;/user/YellowKirby;Nov  9, 2015;"[ ""Apart from being the best Pixar film since 2010, Inside Out is also the best animated movie in years. After Toy Story 3, Pixar started going downhill... Cars 2, yuck! Brave, meh. And Monsters University was mostly enjoyable. But Inside Out is truly Pixar's return to form. Lets hope The Good Dinosaur is just as good!"" ]";1.0;1.0;1.0;0.0;(0.8125, 0.5666666666666668);0.8125;0.5666666666666668;7.428571428571429;0.703125
jurassic-world;8;homer4president;/user/homer4president;Jun 14, 2015;"[ ""This movie was pretty entertaining! You shouldn't be going in this movie thinking that it's going to be the best movie in the last decade, because it's not. It's basically a monster flick. Chris Pratt does a great job in his role! I laughed at the product placement in this movie but it was nothing to hinder my experience. The only gripe I had this movie was the CGI, sometimes it looked spot on, but towards the end it was meh. Wish they used more animetronics like they did in the original."" ]";1.0;5.0;1.0;4.0;(0.49444444444444446, 0.5851851851851853);0.4944444444444445;0.5851851851851853;-2.3733333333333344;0.7027777777777778
young-adult;8;Compi24;/user/Compi24;Oct 27, 2013;"[ ""\""Young Adult\"" is another triumph from the subtly engrossing style of Jason Reitman and the sardonically biting commentary of Diablo Cody, featuring a despicably delightful performance from Charlize Theron and a characteristically hilarious turn from Patton Oswalt."" ]";0.0;0.0;0.0;0.0;(0.7000000000000001, 0.9);0.7000000000000001;0.9;inf;0.7000000000000001
star-wars-the-clone-wars;4;EpicLadySponge;/user/EpicLadySponge;Feb  3, 2016;"[ ""To describe this movie in a review, Star Wars: The Clone Wars doesn't feel like a good installment... in the franchise or not. As a matter of fact, this felt like it should've been a straight-to-TV movie or felt like a pilot episode of the Clone Wars separated into three (or four if there's an extension scene) parts airing on Cartoon Network."" ]";0.0;0.0;0.0;0.0;(0.7, 0.6000000000000001);0.7;0.6000000000000001;inf;0.7
the-lego-movie;9;homer4president;/user/homer4president;Jun 30, 2015;"[ ""Whilst visually stunning, the choice of voice actors truly add to the humour and are perfect choices, particularly Liam Neeson, Morgan Freeman and Will Ferrell. Every person who has watched this film has never forgotten the sweet yet ingenious lyrics to \""Everything is AWESOME!!\"". Easy for kids to understand and great nostalgia for older Lego fans, The LEGO Movie has a safe spot on my top 10 of 2014."" ]";1.0;3.0;1.0;2.0;(0.4916666666666666, 0.69);0.4916666666666666;0.69;-2.3600000000000003;0.6999999999999998
star-trek;9;homer4president;/user/homer4president;Mar 13, 2015;"[ ""This is just what the Star Trek franchise needed, someone who could take a look at it from a new perspective and creatively re-imagine the whole thing. JJ Abrams made the best Star Trek movie in an incredibly long time and was able to do it while keeping all the trekkies happy. The visual effects are some of the best I've seen, the plot is wonderful, the acting is superb, there's so much that could be said. This is a movie that appeals to all ages whether you like Star Trek or not."" ]";0.0;1.0;0.0;1.0;(0.48356643356643353, 0.5138111888111888);0.4835664335664335;0.5138111888111888;-2.321118881118881;0.6918997668997667
treasure-planet;9;homer4president;/user/homer4president;Mar 30, 2015;"[ ""I loved the blend of CGI and 2D animation. An incredible visual masterpiece.  You still have all the old great qualities of the Disney name and some new additions. Some great voice talent from Joseph Gordon Levitt, Martine Short and others. It also happens to be an incredible tear jerker."" ]";1.0;1.0;1.0;0.0;(0.48181818181818187, 0.5616161616161617);0.4818181818181818;0.5616161616161617;-2.3127272727272734;0.6901515151515151
zootopia;9;homer4president;/user/homer4president;Mar 20, 2016;"[ ""Very clever use of dialogue and humor. There's a surprising twist at the end that made me ROFL. Very cute movie. This movie also touches on stereotypes and social problems that we have in our society today. I did not expect this movie to be so....awesome."" ]";3.0;5.0;3.0;2.0;(0.48, 0.6933333333333334);0.48;0.6933333333333334;-2.3040000000000003;0.6883333333333332
garfield-a-tail-of-two-kitties;7;homer4president;/user/homer4president;Mar 27, 2015;"[ ""It was nice, so much better than the first one. Its enjoyable and funny. The kids and everyone who likes Garfield will love it. I think that this time the story was better and the plot was better developed. Bill Murray is excellent and so hilarious as the voice of Garfield."" ]";1.0;1.0;1.0;0.0;(0.4727272727272727, 0.6666666666666666);0.4727272727272727;0.6666666666666666;-2.2690909090909095;0.681060606060606
the-hurt-locker;9;Meth-dude;/user/Meth-dude;May 31, 2015;"[ ""This is a truly powerful film.That job is pretty though and the movie shows it perfectly even if the movie is inaccurate with this job.With a very good script,an original idea,convincing characters and very good acting,The Hurt Locker is an awesome movie."" ]";0.0;0.0;0.0;0.0;(0.6778571428571428, 0.9014285714285715);0.6778571428571428;0.9014285714285716;inf;0.6778571428571428
tarzan;9;homer4president;/user/homer4president;Mar 29, 2015;"[ ""A greatly entertaining roller coaster of a film that combines 2D animation with 3D background to its best extent and dazzles us with thrilling scenes of Tarzan surfing through the jungle trees, while the classic story offers us a very nice message about acceptance and self-identity."" ]";0.0;2.0;0.0;2.0;(0.46611111111111114, 0.5277777777777778);0.4661111111111112;0.5277777777777778;-2.2373333333333343;0.6744444444444445
man-of-steel;10;TobyMan;/user/TobyMan;Jun 17, 2013;"[ ""This was one of the best remakes ever made. Man of Steel kept a distance between 78's Superman. Zack did a very good job as a director, and the writers did a great job with the story. The fighting sequences were awesome. This movie felt like a modern reimagination of Superman with new technology. The movie is definetely a summer blockbuster and will hit the billion mark."", ""I give Man of Steel a 10/10..."" ]";7.0;9.0;7.0;2.0;(0.6743939393939394, 0.5974242424242424);0.6743939393939394;0.5974242424242424;inf;0.6743939393939394
night-at-the-museum;7;homer4president;/user/homer4president;Mar 13, 2015;"[ ""Just about any movie with Ben Stiller, with the exception of Tropic Thunder and others probably, most of his movies are usually pretty harmless in terms of content. But does that make it good? In the case of Night at the Museum, yeah, it does. The movie has a good cast, good comedic timing and writing, and while it may not be entirely original, the movie has enough going for it to be entertaining."" ]";0.0;0.0;0.0;0.0;(0.46562499999999996, 0.6562500000000001);0.465625;0.6562500000000001;-2.2350000000000008;0.6739583333333333
groundhog-day;5;Broyax;/user/Broyax;Dec 30, 2016;"[ ""Je l'ai vue il y a longtemps et à l'instar des petites comédies sans prétention plus ou moins guillerettes, le revisionnage ne lui est pas particulièrement favorable. En fait, plus on la regarde, plus ses défauts vous sautent aux yeux : sa morale à l'eau de rose, son romantisme de supermarché et sa naïveté bon teint finissent irrémédiablement par gaver."", ""Pour autant, c'est un rôle sur mesure pour le facétieux Bill, lequel reste tout de même dans les clous d'un scénario très balisé -on sait que le trublion se laisse facilement emporter dans les affres de la débilité- pour le meilleur et pour le pire. Aussi rit-on de temps en temps sur ce thème et variations au fil des essais et erreurs de ce sacré Phil... c'est-à-dire Bill perdu à Peczouille-land."", ""Pareil pour Andie l'andouillette au sujet de laquelle on arrive néanmoins pas à se décider (dans ce film précis en tout cas) : est-elle délicieusement charmante ou insupportablement pouffe écolo-bourgeoise ? elle et sa poésie italienne du 19ème siècle. Putain."", ""A partir d'une idée entousiasmante, Un jour sans fin est devenu assez convenu malgré ou à cause de Bill mais surtout à cause de son écriture très Disney-tête à claques. Regardable oui, mais pas tous les jours !"" ]";0.0;0.0;0.0;0.0;(0.75, 0.95);0.75;0.95;9.677419354838706;0.6725
dolphin-tale;7;homer4president;/user/homer4president;Mar 13, 2015;"[ ""Dolphin Tale is a funny, charming, and a good-hearted family flick about courage, hope, and perseverance that will touch your heart and perhaps even inspire you. Rather than panders to kids like most PG-rated movies often do, it acknowledges their sense of imagination and patience and rewards them with a story that's both engaging and though-provoking."" ]";0.0;0.0;0.0;0.0;(0.4625, 0.8);0.4625;0.8;-2.2200000000000006;0.6708333333333333
mrs-doubtfire;9;homer4president;/user/homer4president;Mar 13, 2015;"[ ""I love this movie. Throughout my childhood, this movie game me hope, faith, and joy. This film has a special place in my heart and had a great impact on my childhood. I'll never forget out beloved Robin Williams, it's a shame that we lost him so soon."" ]";0.0;0.0;0.0;0.0;(0.4595238095238095, 0.5869047619047619);0.4595238095238095;0.5869047619047619;-2.205714285714286;0.6678571428571428
baby-driver;9;CineAutoctono;/user/CineAutoctono;Jul 26, 2017;"[ ""\""Baby Driver\"" was an incredible film, music, history, characters and their interpretation, and the action scenes made this a film that will become one of the classics of the comedy, Ansel Elgort, has had its best participation Throughout his career, Edgar Wright continues to surprise us, and will continue to amaze us."" ]";0.0;1.0;0.0;1.0;(0.6666666666666666, 0.43333333333333335);0.6666666666666666;0.43333333333333335;inf;0.6666666666666666
12-years-a-slave;9;homer4president;/user/homer4president;Mar 29, 2015;"[ ""\""12 Years a Slave\"" is arresting, a film that needs to be watched and is easily the best movie that touches on the topic of slavery. Even more so, it is a film that is both informative, extraordinarily emotional, and an incredible eye-opener to slavery's mental destruction to man."" ]";0.0;0.0;0.0;0.0;(0.45555555555555555, 0.5638888888888889);0.4555555555555556;0.5638888888888889;-2.1866666666666674;0.6638888888888889
lost-in-translation;9;CineAutoctono;/user/CineAutoctono;Jul 31, 2017;"[ ""\""Lost in Traslation\"" was a very good movie, I loved the photography, and all the places, the culture, and the people of Japan, I liked the perfomances of Bill Murray and Scarlett Johansson, and i Liked the story, and the story is very good, I´ve enjoy this moviee, This movie is magic."" ]";0.0;0.0;0.0;0.0;(0.66, 0.78);0.66;0.78;inf;0.66
the-martian;8;CineAutoctono;/user/CineAutoctono;Dec 24, 2015;"[ ""\""The Martian\"" was an exciting film in which Matt Damon, surprised with the role of Mark Watney , a survivor of the desolate Mars, an exciting movie , and electrifying where we can see the wonderful landscape of Mars , excellent script, very good photography, and excellent work of Ridley Scott."" ]";0.0;0.0;0.0;0.0;(0.6585714285714286, 0.8971428571428571);0.6585714285714286;0.8971428571428571;inf;0.6585714285714286
catch-a-fire;7;homer4president;/user/homer4president;Mar 26, 2015;"[ ""What is especially great about the film, is the very last scene, in which it starts out as Derek Luke as Patrick Chamusso, and finishes with the real-life Chamusso speaking. This is extremely effective in driving the point home that these events really occurred and that there are people out there who strive to make a difference in their environment."" ]";0.0;0.0;0.0;0.0;(0.45, 0.5216666666666667);0.45;0.5216666666666667;-2.1600000000000006;0.6583333333333333
frozen-2013;8;TheApplegnome;/user/TheApplegnome;Dec 22, 2014;"[ ""This movie is one of Disney's best films of the decade. It's funny, awesome and highly entertaining for both children and adults. There are no flaws at all, just great magical things that we never have seen before."", """", ""This film is wonderful and touching, no need to say more!"", """", ""Frozen gets an 8.5/10."" ]";2.0;4.0;2.0;2.0;(0.6861111111111111, 0.75);0.6861111111111111;0.75;21.711187214611872;0.6545093795093795
robots;7;homer4president;/user/homer4president;Mar 11, 2015;"[ ""Robin Williams is in classic form as he steals scene after scene as \""Fender\"" with witty dialogue all the way through. A fitting successor to \""Ice Age\"", this animated motion picture is both funny and intelligent. I just howled at the scene with Fender teaching Rodney to make whoopee cushion noises with his arm pits, then the Rusties follow suit, leading to an encore by Aunt Fanny, to put the \""fun\"" in dys_fun_ctional."" ]";0.0;0.0;0.0;0.0;(0.44333333333333336, 0.7133333333333334);0.44333333333333336;0.7133333333333334;-2.1280000000000006;0.6516666666666666
freaky-friday;10;vini1904;/user/vini1904;Aug 14, 2012;"[ ""An excellent movie that shows precisely the conflict of the relationship between parents and children. And what child ever wished that his father was in his place so he could see what it is? Or even the opposite. A great film with good performances and an excellent script."" ]";0.0;0.0;0.0;0.0;(0.65, 0.6916666666666668);0.65;0.6916666666666668;inf;0.65
kung-fu-panda;8;gameguardian21;/user/gameguardian21;Mar 20, 2016;"[ ""This is the start to one of the greatest animated trilogys of all time. The story is great, which follows a panda who is just trying his best to become what he is believed to be. The action, humor, and overall story is one of dreamworks greatest accomplishes."" ]";0.0;0.0;0.0;0.0;(0.65, 0.525);0.65;0.525;inf;0.65
the-iron-giant;10;homer4president;/user/homer4president;Mar 11, 2015;"[ ""The Iron Giant is really a great film. You know those films that have a boy and his dog (Lassie). a boy and his whale (Free Willie), a boy and his alien (E.T.), and a boy and his Gamera (Gamera the Brave)? This film decided to do a boy and his giant robot in a nutshell. The story is great, the characters are great, and I love what the Iron Giant was revealed to be at the end. It's just awesome! If you haven't seen this movie, then I suggest you do so."" ]";0.0;0.0;0.0;0.0;(0.440909090909091, 0.8545454545454544);0.44090909090909103;0.8545454545454544;-2.1163636363636376;0.6492424242424243
hellboy;7;homer4president;/user/homer4president;Mar 28, 2015;"[ ""Hellboy is an amazing thrill ride. Not only was it great to pick Ron Perlman, it was great to make this movie. The plot was fun, the effects and music were great, and the fish guy was awesome. My only tiff is sometimes the effects were cheesy. But if you can deal with that youll love this movie."" ]";0.0;0.0;0.0;0.0;(0.43, 0.7949999999999999);0.43;0.7949999999999999;-2.0640000000000005;0.6383333333333333
captain-america-civil-war;10;blue-ninja;/user/blue-ninja;May  9, 2016;"[ ""I have watch this Cap 3 Civil War movie twice, i can say this is Amazing Perfect & Brilliant MCU movie after Cap 2 The Winter Soldier when Story is look Great and 12 Character Superhero in Airport scene action is look so balanced. Russo brothers is the best director MCU, can't wait the next project Avengers Infinity War part 1 & 2"" ]";2.0;6.0;2.0;4.0;(0.6285714285714287, 0.5785714285714285);0.6285714285714287;0.5785714285714285;inf;0.6285714285714287
superman;9;supermann234;/user/supermann234;Nov 17, 2014;"[ ""This movie is probably still the best Superman movies compared to modern-day Superman movies. Despite having no fight scenes, this movie sticks very closely to the comics, and is iconic as a Superman movie. This movie also has the best Superman theme. I am very impressed on how these people make such a good movie even in the 1970s."" ]";0.0;0.0;0.0;0.0;(0.6285714285714287, 0.5000000000000001);0.6285714285714287;0.5000000000000001;inf;0.6285714285714287
star-wars-episode-vii---the-force-awakens;9;homer4president;/user/homer4president;Dec 18, 2015;"[ ""Probably one of the best movies I have seen all year and definitely so much better than the prequels. When I saw the crawl text pop up again, I couldn't believe it was finally here. Got goosebumps. Great acting, great action, great everything really. Looking forward to the next one."" ]";17.0;64.0;17.0;47.0;(0.42000000000000004, 0.43500000000000005);0.42;0.4350000000000001;-2.0160000000000005;0.6283333333333333
batman-begins;7;homer4president;/user/homer4president;Mar 13, 2015;"[ ""Batman Begins is the story of Bruce Wayne's transformation onto the Dark Knight. This movie is much darker than it's predecessors but has a great story line. This movie is accompanied by a great soundtrack and good acting. Christian Bale is perfect for the role of Batman."" ]";0.0;0.0;0.0;0.0;(0.41875, 0.4625);0.41875;0.4625;-2.0100000000000007;0.6270833333333333
wonder-woman;8;CineAutoctono;/user/CineAutoctono;Jun  7, 2017;"[ ""\""Wonder Woman\"" was an exceptional film, the story, and the scripts were very good, the special effects were good, and the performances very good, but nothing compares to the great performance of Gal Gadot, this actress put \""girl power \""To this film, transmitting, courage, courage, love and beauty, Patty Jenkins managed to make this movie in an intelligent way, and the message finally came to my heart, Wonder Woman is the super heroine we need, so that the Extended Universe DC Comics resurrects after the punch of criticism in his latest films, and for fans and not so fans of DC, surprise us, excite us and fondle us with this character. A Wonderful Movie, like Wonder Woman !."" ]";0.0;2.0;0.0;2.0;(0.623095238095238, 0.7956746031746031);0.6230952380952379;0.7956746031746031;inf;0.6230952380952379
